en,fr,it,de,es,ko,kana
The opposing [VAR PKNICK(0000)] took some lingering damage.,Le [VAR PKNICK(0000)] ennemi encaisse des dégâts résiduels.,Il [VAR PKNICK(0000)] avversario ha subito danni persistenti.,Der gegnerische [VAR PKNICK(0000)] hat anhaltenden Schaden erlitten.,El [VAR PKNICK(0000)] rival ha recibido algo de daño persistente.,상대의 [VAR PKNICK(0000)]이 지속 피해를 입었습니다.,相手の[VAR PKNICK(0000)]が持続ダメージを受けました。
The lingering damage effect subsidied.,"L'effet de dégâts résiduels a disparu.","L'effetto dei danni persistenti è svanito.",Der anhaltende Schadenseffekt hat nachgelassen.,El efecto de daño persistente ha desaparecido.,지속 피해 효과가 사라졌습니다.,持続ダメージ効果が消えました。
"[VAR PKNICK(0000)] couldn't fully protect itself and took some damage.","[VAR PKNICK(0000)] n'a pas pu se protéger complètement et a subi des dégâts.",[VAR PKNICK(0000)] non è riuscito a proteggersi completamente e ha subito dei danni.,[VAR PKNICK(0000)] konnte sich nicht vollständig schützen und hat Schaden genommen.,[VAR PKNICK(0000)] no pudo protegerse completamente y recibió algo de daño.,[VAR PKNICK(0000)]이 완전히 보호하지 못하고 피해를 입었습니다.,[VAR PKNICK(0000)]は完全に守ることができず、ダメージを受けました。
"The wild [VAR PKNICK(0000)] couldn't fully protect itself and took some damage.","Le [VAR PKNICK(0000)] sauvage n'a pas pu se protéger complètement et a subi des dégâts.",Il [VAR PKNICK(0000)] selvatico non è riuscito a proteggersi completamente e ha subito dei danni.,Das wilde [VAR PKNICK(0000)] konnte sich nicht vollständig schützen und hat Schaden genommen.,El [VAR PKNICK(0000)] salvaje no pudo protegerse completamente y recibió algo de daño.,야생의 [VAR PKNICK(0000)]이 완전히 보호하지 못하고 피해를 입었습니다.,野生の[VAR PKNICK(0000)]は完全に守ることができず、ダメージを受けました。
"The opposing [VAR PKNICK(0000)] couldn't fully protect itself and took some damage.","Le [VAR PKNICK(0000)] ennemi n'a pas pu se protéger complètement et a subi des dégâts.",Il [VAR PKNICK(0000)] avversario non è riuscito a proteggersi completamente e ha subito dei danni.,Der gegnerische [VAR PKNICK(0000)] konnte sich nicht vollständig schützen und hat Schaden genommen.,El [VAR PKNICK(0000)] rival no pudo protegerse completamente y recibió algo de daño.,상대의 [VAR PKNICK(0000)]이 완전히 보호하지 못하고 피해를 입었습니다.,相手の[VAR PKNICK(0000)]は完全に守ることができず、ダメージを受けました.
[VAR PKNICK(0000)] Terastallized and took the [VAR 0103(0001)] type!,[VAR PKNICK(0000)] a Teracristallisé et a pris le type [VAR 0103(0001)] !,[VAR PKNICK(0000)] è Teracristallizzato e ha assunto il tipo [VAR 0103(0001)]!,[VAR PKNICK(0000)] ist Terakristallisiert und hat den Typ [VAR 0103(0001)] angenommen!,¡[VAR PKNICK(0000)] Teracristalizado y ha tomado el tipo [VAR 0103(0001)]!,[VAR PKNICK(0000)]이 테라크리스탈화되어 [VAR 0103(0001)] 타입이 되었습니다!,[VAR PKNICK(0000)]がテラスタル化して[VAR 0103(0001)]タイプになった！
The opposing [VAR PKNICK(0000)] Terastallized and took the [VAR 0103(0001)] type!,Le [VAR PKNICK(0000)] ennemi a Teracristallisé et a pris le type [VAR 0103(0001)] !,[VAR PKNICK(0000)] avversario è Teracristallizzato e ha assunto il tipo [VAR 0103(0001)]!,Der gegnerische [VAR PKNICK(0000)] ist Terakristallisiert und hat den Typ [VAR 0103(0001)] angenommen!,¡El [VAR PKNICK(0000)] rival Teracristalizado y ha tomado el tipo [VAR 0103(0001)]!,상대의 [VAR PKNICK(0000)]이 테라크리스탈화되어 [VAR 0103(0001)] 타입이 되었습니다!,相手の[VAR PKNICK(0000)]がテラスタル化して[VAR 0103(0001)]タイプになった！
The wild [VAR PKNICK(0000)] Terastallized and took the [VAR 0103(0001)] type!,Le [VAR PKNICK(0000)] sauvage a Teracristallisé et a pris le type [VAR 0103(0001)] !,[VAR PKNICK(0000)] selvatico è Teracristallizzato e ha assunto il tipo [VAR 0103(0001)]!,Das wilde [VAR PKNICK(0000)] ist Terakristallisiert und hat den Typ [VAR 0103(0001)] angenommen!,¡El [VAR PKNICK(0000)] salvaje Teracristalizado y ha tomado el tipo [VAR 0103(0001)]!,야생의 [VAR PKNICK(0000)]이 테라크리스탈화되어 [VAR 0103(0001)] 타입이 되었습니다!,野生の[VAR PKNICK(0000)]がテラスタル化して[VAR 0103(0001)]タイプになった！
Description,Description,Description,Description,Descripción,설명,説明
Mega evolve,Mega-Évolution,Megaevoluzione,Mega-Entwicklung,Megaevolucionar,메가 진화,メガシンカする
Z-Move,Capacité Z,Mossa Z,Z-Attacke,Movimiento Z,Z-포스,Zワザ
Dynamax,Dynamax,Dynamax,Dynamax,Dinamax,다이맥스,ダイマックス
Terastal,Téracristal,Teracristal,Terakristall,Teracristal,테라크리스탈,テラスタル
Tera Type,Type Téra,Teratipo,Tera-Typ,Teratipo,테라스탈타입,テラスタイプ
